campaign_id,channel,start_date,end_date,budget
1,Organic Search,2025-03-26,2025-04-14,3945.14
2,Google Ads,2025-09-06,2025-09-26,19358.14
3,Email,2025-04-14,2025-04-27,1793.41
4,Affiliate,2025-05-05,2025-05-22,3373.7
5,Google Ads,2025-03-18,2025-04-02,29273.02
6,Influencer,2025-07-07,2025-08-01,9032.54
7,Google Ads,2025-07-18,2025-08-11,38482.67
8,Influencer,2025-03-06,2025-04-01,9998.83
9,Organic Search,2025-06-30,2025-07-21,1653.95
10,Display Ads,2025-08-15,2025-09-12,15117.95
11,Facebook Ads,2025-01-12,2025-02-11,24105.21
12,Influencer,2025-02-12,2025-03-05,19864.83
13,Organic Search,2025-10-11,2025-11-01,3302.0
14,Organic Social,2025-07-14,2025-08-06,2782.1
15,Organic Social,2025-04-19,2025-05-19,1616.97
16,Google Ads,2025-04-02,2025-04-18,26723.67
17,Organic Social,2025-02-13,2025-03-10,5513.66
18,Google Ads,2025-10-09,2025-10-24,31377.19
19,Organic Social,2025-05-04,2025-05-11,3955.08
20,Organic Social,2025-08-23,2025-09-03,4465.77
21,Email,2025-09-06,2025-09-22,3912.14
22,Google Ads,2025-06-29,2025-07-10,29899.39
23,Email,2025-01-08,2025-01-30,4138.37
24,Email,2025-09-29,2025-10-23,774.55
25,Organic Search,2025-09-21,2025-10-17,5027.71
26,Facebook Ads,2025-02-21,2025-03-08,24657.8
27,Organic Search,2025-08-27,2025-09-13,3354.01
28,Affiliate,2025-02-14,2025-03-09,14975.38
29,Affiliate,2025-03-29,2025-04-10,24255.98
30,Google Ads,2025-05-30,2025-06-15,27404.83
31,Organic Social,2025-04-25,2025-05-07,5258.49
32,Affiliate,2025-09-10,2025-10-07,24157.29
33,Influencer,2025-08-28,2025-09-06,7407.9
34,Organic Social,2025-10-11,2025-11-09,540.7
35,Email,2025-06-02,2025-06-15,3535.43
36,Google Ads,2025-02-05,2025-02-24,11570.73
37,Organic Search,2025-03-11,2025-03-31,1472.17
38,Influencer,2025-04-07,2025-04-23,12910.07
39,Google Ads,2025-05-26,2025-06-16,19212.76
40,Email,2025-10-21,2025-11-08,4678.76
41,Display Ads,2025-03-02,2025-03-15,44432.91
42,Google Ads,2025-01-24,2025-02-08,31824.88
43,Affiliate,2025-01-18,2025-02-09,16960.61
44,Display Ads,2025-04-16,2025-05-05,43133.7
45,Influencer,2025-09-05,2025-09-19,19821.4
46,Organic Search,2025-08-24,2025-09-15,2111.34
47,Facebook Ads,2025-06-09,2025-06-21,22759.89
48,Facebook Ads,2025-05-05,2025-05-25,16838.87
49,Email,2025-01-09,2025-02-05,1159.01
50,Email,2025-03-16,2025-04-13,1393.09
51,Email,2025-03-05,2025-04-04,1982.59
52,Google Ads,2025-07-01,2025-07-24,28025.0
53,Organic Social,2025-05-17,2025-05-24,923.91
54,Influencer,2025-02-03,2025-03-02,13376.96
55,Organic Social,2025-02-03,2025-02-22,4464.52
56,Facebook Ads,2025-03-01,2025-03-10,6563.22
57,Display Ads,2025-05-19,2025-05-26,34120.77
58,Influencer,2025-05-22,2025-06-17,17899.11
59,Facebook Ads,2025-07-19,2025-08-01,16329.32
60,Email,2025-01-14,2025-01-23,3283.63
61,Influencer,2025-08-08,2025-08-31,9246.21
62,Email,2025-06-17,2025-07-01,1870.64
63,Email,2025-09-02,2025-09-14,2188.51
64,Email,2025-08-14,2025-08-26,4820.93
65,Email,2025-03-08,2025-03-19,3452.07
66,Email,2025-07-12,2025-08-07,1644.28
